document_id,cleaned_review,sentiment
1,past pm finished watching francis ford coppola godfather probably go bed late tomorrow wake bit early early enough postpone writing line seen three time opportunity sharing thought refreshed insight much good offer sit bear film work well take place underworld embedded even observe coppola put u straight smackdab center admittedly society made criminal criminal also reason welcoming surrounded inhabitantscoldblooded murderer men see crime like job masquerading honorable men mean men outside would witness horrifying disturbing manifestation wellthought action go even deeper revolves around corleone family led vito corleone marlon brando honest men sitting right edge people like fully embrace world easy avoids conflict absolutely necessary man defined moral principle scene beginning daughter wedding day one associate luca brasi lenny montana practice speech going give meet scene two funny almost adorable could help sympathize realize feeling warmth two mobster even mention lenny montana actual mob hitman actually nervous said line watched realized incredibly complex ruthless society power corrupt anyone come contact best example corleones youngest son michael al pacino return home sister wedding war hero dressed part longtime girlfriend kay adam diane keaton first avoids underworld necessity firsthand exposure sheer devilish appealing nature draw get film change shocking every outsider ever got close tainted one way another survive drawn well viewer inside coppola expose family u fully bold personal approach witness every discussion every methodically calculated choice crime done simply nature business put chair alongside easily relate u good guy rival family bad guy greatest feat film managed pull offset apart good guy bad guy world filled bad guy film unmatched subtlety movie sustains good film done precision attention completeness many layer probably missed maybe never notice felt director francis ford coppola partner crime poor choice word sorry mario puzo nothing short timeless piece reference cinema whose influence based reinventing wheel rather perfecting absolute maximum masterpiece remembered historical contribution citizen kane brought biggest stepup art form thing gone wind space odyssey godfather one film remembered simply good cannot possibly imagine greater achievement,neutral
2,isnt beautifully crafted gangster film outstanding family portrait matter amazing period piece character study lesson filmmaking inspiration generation actor director screenwriter producer definitive film star favorite film imdbcomlistmkjokvqlsbs lesserknown masterpiece imdbcomlistls,positive
3,masterclass film making godfather contender best film time id argue case ultimate gangster movie panic thought film almost three hour long neednt wont even notice time fly production value incredible look sublime whole way well produced roughly fifty year old put many new film shame brandon pacino castellano incredible performance could add whole lot youre considering buying hard copy would recommend blu ray sharper dvd difference film huge influence year still forever one greatest,positive
4,acting simply amazing else could say could appealing peopleeven today watching actor like al pacino marlon brando james caan diane keaton talia shire robert duvall like heaven someone fan movie movie brando able bring back limelight performance godfather alone iconic character recreated much film almost already become cliché performance though cliché performance subtle breathtaking genuine realistic probably definitely genuine marlon brando al pacino perfect film well way start career character depth displayed perfectly able display innerbattles mind well battle family friend enemy character psychological character study anything else robert duvall glue movie added different perspective everything italian yet respect mafia character man high authority within corleone family listened insightful simply perfect giving film great balance throughout rest cast icing cake writing phenomenal breathtaking mentioned movie quoted even quote though make writing perfect symbolism meaning went every scene countless symbol message line memorable yet realistic movie could get,positive
5,godfather quite simply masterful piece filmmaking epic truest sense word far finest gangster film ever shot made finesse style spare director elicits pitchperfect performance talented cast moviemaking yes long film yes section quite slow nevertheless none film less riveting story fatherson takeover one new york major italian mafia family fairly straight forward yet francis ford coppola turn something else much meditation human condition perhaps certainly film explores darker side humanity jealousy betrayal anger revenge key theme film inevitably punctuated moment graphic shocking violence im glad coppola chooses shy away said violence make gritty realistic happen marlon brando take showrunner role patriarch who past prime easy spot real star piece al pacino burn screen sheer ferocity robert duvall easy miss quieter part watch james caan whose volatile sonny one film engaging character altogether splendid unforgettable piece filmmaking inevitably spawned sequel whole gamut similar gangster fare godfather tower head shoulder,positive
6,today havent bothered review godfather everyone pretty much know one greatest film ever made imdbs top best picture oscar nearly review imdb whats one review well completing review nut guess time got around reviewing film reviewed long time ago goesthe film perfect dope wouldnt watch unfortunately imdb requires say meet line minimum review ill point need like gangster film enjoy film yes violent nasty spotsbut also brilliantly written produced start finish deserves accolade received advice instead watching godfather godfather part ii see combined version created televisionwith additional scene made rich experience,positive
7,little add review explained wonderful godfather well seen many amazing movie well clunkers godfather beyond amazing many image detail scene seriously cannot get head since watching first time nine hour ago godfather incredibly wellmade acted stand among rest amazing film ive seen much couldnt think single flaw struggling think good enough reason didnt see film true godfather little slowmoving plot take unfold neither flaw slow pacing added elegiac quality godfather plot special plot unpredictable next idea next going take worried whether old enough appreciate film even understand luckily understood perfectly well truly appreciate masterpiece considered godfather one thing look stunning strongly disagree previous reviewer said cinematography horrid cinematography one best asset film scene cinematography lighting quite dark mysterious scene wedding evergreen autumnal picturesque cinematography make godfather look stunning costume beautifully tailored house gorgeous majestic look even car immaculate score nina rota one word outstanding heard many wonderful score lifetime hearing score stick memory much score godfather score beautiful seen main theme haunting way stick head watching film outstanding asset masterly direction francis ford coppola brilliantly written screenplay intelligent thoughtprovoking darkly humorous violence shocking intense especially climax enough almost make heart either beat twice fast stop almost covered eye producer found horse head bed underneath family somewhat loyal honourable come think acting absolutely fantastic bringing life character rich complex perhaps unlikeable first get know warm say godfather one rarity actor give weak performance particular marlon brando brilliant vito heavily disguised yet stately every word dialogue every subtle hand gesture every facial expression brilliantly judged al pacinos casting admittedly risky still truly wonderful job carrying film james caan dignified loyal diane keaton beautiful alluring robert duvall nicely understated conclusion absolutely amazing see completely considered one greatest movie ever made good fact year old brother loved much want see though film good rating bethany cox,positive
8,im year old first time ive watched godfather feel like ive missed something like definitely enjoyed film dragged way longer shouldve definitely pointless scene understand way ahead time im obviously watching year late reason believe didnt enjoy much rest read rest review old film actually really enjoyed dont blame youth ill definitely watch second one aswell point im sure ill really like one ive seen film ive given way better marlon oscar best leading role think shouldve best supporting role al pacino shouldve put oscar marlon wasnt film nearly much thought hed definitely wasnt bad film fact good film thats good film,positive
9,one best film time absolute masterpiece godfather arguably best gangster drama well setting standard cinema,positive
10,love movie gf movie see something new every time seen countless truly story tragedy little comedy exists film easily understood people world film called american story however met others seen movie language seem love appreciation love character different personality represent family society seems like entire cast part every movie love well sound music color light film much part film people could attributed method filmed many part film still find feeling emotion conveyed film never tire appreciating film thank god ffc american treasure fortunate,positive
11,flawless movie movie translates book perfectlythis movie made want director create film everyones acting perfect think puza wrote specifically make hit first crazy,positive
12,must rank best film along part timean ensemble performance weak spot particularly john cazale fredo richard castellano clemenza give wonderfully understated performance believe castellano clemenza brings real touch role john cazale brings troubled fredo life see weak fredo desperately trying live family reputation knowing never father want story one man reluctance drawn murky family businessand gradual change circumstance paint vivid picture violent period u history miss film,neutral
13,definition perfect movie marlon brando established mafia leader hoarse voice cold feature actor affected ghost great performance movie godfather every stare el pacino godfather story music music taking another world making feel like around mafia gang say movie family,positive
14,must admit ive never watched godfather month ago movie fan always ashamed ive seen might unpopular opinion acting quite good actor also became legend business love little detail good never get plot ok wanted wanted go deeper character like michael really think behave like looked silence always waiting catchy moment make feel love called masterpiece didnt happened watched part nearly bored neither surprised twist emotional catched story character relatable didnt felt feeling like robot change theme wouldnt even recognize person abc get murdered doesnt matter yes watch masterpiece regarding review still need watch part list since month didnt itthat say lot,positive
15,finally forced watch masterpiece exactly redeeming feature movie film elite love much long boring tedious experience would never want repeat watching old men convince young men kill old men pointless actual point story crafted sell next installment movie business wellliked show wrong american cimema imdb ranking system,neutral
16,directing coppola perfect well many movie hour yet maintain good level interest audience like godfather coppola deserves credit symbolism message went every scene also directing writing movie well edited strung together word could come mind perfection cinematography music perfect score movie one memorable ever hear could identify right away cinematography actually really drove movie godfather seems mystique give feeling watching something truly remarkable,positive
17,movie strong good script great casting excellent acting top directing hard fine movie done well year old aged well even viewer like mafia type movie watch entire film audience glued happen next film progress family loyalty greed relationship real life great mix artistic style make film memorable,positive
18,godfather trilogy exclusive set movie continue live humanity every generation see say oh watch know world life inside underworld one live except people underworld smart fact smartness thing keep vito caroleones early life shown partii well done show making kid couldnt even tell name went becoming underworld keep senator judge lawyer pocket meeting call five family among impressive scene saga go continuous hour take around various walk life mike don younger son become later school day love life personal life family life business life political life religious life different role mike play life intertwined enjoyed watching movie much wish seen much amazing see partiii made year later parti made everything look continuous watch together need say much godfather father trilogy around everyone know great set movie matter actually get see watch kudos francis ford coppola vishy,positive
19,alright movie simply perfect dont one bad thing say honestly phenomenal acting hollywood greatest talent al pacino give career defying performance godfather along side marlon brando james caan robert duvall young diane keaton movie simply perfect adaptation mario puzos book tell tale immigrant living american dream even though start absolutely phenomenal individual role one remains iconic othersmarlon brando vito fan movie come back watch witness brando absolute finest,positive
20,first say difficult watch movie first time approach open mind glowing review get everywhere many course calling best movie ever made give one extremely high expectation possibility easily disappointed many parody movie also give cult status make one think one know story even one never seen thought godfather good movie nothing really personally wouldnt call greatest movie ever made even one greatest good worth watching im glad ive finally seen nothing portrayal mob life postwar era seemed realistic enough appropriate atmosphere set opening scene revolving around corleones daughter wedding gave mixed feeling thought whole thing went long demonstrate corleones business never ended constantly meeting various people looking favour rather front centre wedding brando course refused accept oscar best actor portrayal corleone wasnt actually taken performance first really didnt think lead actor al pacino corleones son mike thought far important story far interesting watch brando almost cartoonish aura around overrated view pacino excellent character mike interesting movie evolves returned war hero want nothing family business eventual thought bad movie quite watchable part interesting think ive seen better,positive
21,godfather one wellknown film time popularity made legend ultimate mafia film film crop everyday conversation memorable scene horse severed head dead mafia man tomato garden chasing little boy around one film consider best film ever made people thought scene story done brilliantly film difficult follow ive seen much better film godfather despite good scene photography would classify average film good probably could better failed really inspire film,positive
22,one best complete movie ever absolutely everything great directing acting storytelling atmosphere story crime also story family good evil easy succumb temptation film left deep mark film art would dare say art general cast exceptional marlon brandos acting performance particularly impressive character fascinating layered cast really embodied perfectly subtle detail director slowly build story atmosphere excellent direction cinematography brilliant everything film make sense place truly fascinating film work truly remarkable story told best possible way powerful unforgettable film achievement,positive
23,godfather strong contender best film ever made id argue ultimate gangster movie dont worry nearly threehour runtime wont even notice time passing fly production value astounding visual appeal remains impressive throughout around fifty year old outshines many modern film performance brando pacino castellano among others acting phenomenal youre considering hard copy recommend bluray version sharper dvd difference noticeable film significant influence year always one greatest,positive
24,sure watch francis great couldnt asked better moviewill sure watch francis great couldnt asked better moviewill sure watch francis great couldnt asked better movie,positive
25,al pacino marlon brando could go day would hour instead could see good movie actor story acting timeless classic,positive
26,nephew told uncertain term movie making start godfather doesnt believe anything made great merit godfather like birth nation three godfather film bear viewing mario puzo created compelling character francis ford coppola brought life vividly get sucked permanently like mammoth novel period gone wind mario puzo like margaret mitchell way could top book published anyone steeped organized crime history know lot alluded godfather film case point alex rocco play minor character moe green take upon slap fredo corleone around he also got cash flow problem casino he running one would living another planet know referring bugsy siegal godfather story begin end world war ii marlon brando rule roost vito corleone head one large crime family two son james caan sonny john cazale fredo business third al pacino michael come back war decorated hero occasion gathering clan friend daughter talia shire connie gianni rizzi carlo russo character marvelously introduced plot situation laid beautifully marlon brando apparently decided george c scott good refusing oscar patton decided one better send bogus indian princess tell despite bit cheek brando certainly deserved oscar performance vito compelling criminal family man brando might lucky though al pacino really main character three godfather film nominated supporting actor category fact pacino nominated james caan robert duvall play tom heggen family lawyerconsigliere brandos adopted son three way tie guaranteed oscar joel grey cabaret eddie albert nominated heartbreak kid fifth theyre great pacino best actor category singer al martino play johnny fontaine didnt know frank sinatra youd living another planet fact identification made complete fact martino sings one heart corleone wedding early sinatra hit sinatra happy godfather broke relation martino richard conte play barzini one mafia don part underside sinatra legend worked plot well image dialog godfather entered popular culture horse head john marley bed cryptic gangster dialog speaking offer cant refuse lucabrazzi sleep fish stuff remember forever seeing film key scene think godfather retired brando pacino taken crime family brando isnt happy road took success available hoped pacino could stayed family business clean life wasnt maybe next generation think beautifully played fact beautifully played,positive
27,im ready downvoted oblivion intellectually appreciate style influence popularity film attested lasting reputation universally positive review along classic like battleship potemkin metropolis massive impact lauded masterpiece yet like film think value piece film history emotional viewing experience put bluntly see masterpiece time dont feel way watch sure ill give plenty credit acting atmosphere cinematographic technique add soft dreamlike quality everything portrayal gangster seemed far know grounded humanistic caricatured however definitely part drag didnt feel engaging watched expectation idea status id probably think well made film older era nothing earthshattering,neutral
28,new york vito corleone played marlon brando aging godfather mafia family three son sonny james caan fredo john cazale michael al pacino sonny natural successor impulsive shorttempered much thinker fredo overly passive michael war hero looking stay family business corleone family four mafia family new york new jersey peace several year one family decides get illegal narcotic business want corleones help corleone decides family stay narcotic disastrous farreaching consequence consequence suck michael deeper deeper family business hard come superlative movie rightfully regarded one greatest movie time great story based book mario puzo adapted puzo francis ford coppola superb direction coppola wonderful moment sensitivity great drama scene despite nearly three hour long doesnt feel like movie well paced there always something happening coppola suck word go keep enthralled engaged whole time excellent performance marlon brando well deserved best actor oscar al pacino robert duvall james caan nomination best supporting actor movie launched pacinos career revitalised brandos beyond pure art entertainment movie defined set benchmark gangsterdrama gritty crimedramas several excellent james cagney movie white heat pick bunch well original scarface crime drama great film noir drama however none grittiness profundity sheer breadth depth story godfather monumental influence seen work scorsese goodfellas especially tarantino many director overtly excellent tv series soprano alltime classic,positive
29,engrossing motion picture feature finest editing cinematography performance ever wonderful theme family run film later sequel one truly judged love unconditional god one truly judge easily word masterpiece describes film thats said manywho argue masterpiece right money,positive
30,film pretty much perfection craft every single aspect godfather outstanding many iconic line moment throughout movie replicated entrenched culture year really isnt much else say truly peak filmmaking,positive
31,still one iconic film today fun modern people watch every friend want,positive
32,godfather deserves called best movie history personal point view nothing wrong,positive
33,godfather smart well written oscar winner best adapted screenplay well performed would succeeded worst circumstance marlon brando oscarwinning even though refused award give performance lifetime head mafia family anything everything dominate organized crime postworld war ii new york city however face crime quickly changing syndicate targeting brando eliminate competition one figured youngest son al pacino oscarnominated may even ruthless maniacal father robert duvall james caan received oscar nomination role wicked mix diane keaton talia shire abe vigoda john cazale arguably best work respective career godfather epic filmmaking ended first true picture deal topic nonfilm noir style amazing achievement probably best movie produced saying whole lot way quite possibly greatest motion picture time excellent movie every cinematic angle imaginable star,positive
34,godfather arguably overrated movie ever made fair technical feast impressive period design music memorable nothing else pacino dull keaton forgettable duvall go motion script lack punch probably goodfellas one movie tell rise fall story godfather three movie far enjoyable vivid way,positive
35,marlon brando vito corleone head perhaps powerful new yorkarea mafia family wellrespected film directorwriter francis ford coppola film begin vito receiving business guest office home daughter connies talia shire wedding reception taking place epic plot take place many year telling story vito familyincluding michael al pacino santino james caan tom hagen robert duvall associate interaction mob syndicate godfather commonly considered one greatest film time even though ive given wouldnt put kind exalted emphasis ive given literally thousand film year godfather barely made think number flaw coppola also knack transcending problem brilliant move another rate definitely mustsee viewingeven highly regardedif youve experienced film yet think good idea attain cultural literacy film popularly loved godfather become necessary element achieving literacy shorn gangster trapping godfather sprawling soapoperatic tone sprawl appropriate origin novel mario puzo also cowrote screenplay coppola large cast charactersmaybe large difficult keep track everyone even youve watched film couple time may find scene mobster seem spontaneously appear catch saying wait guy supposed soap opera angle positive negative depending taste tend like soapoperatic story course coppola put yummy gangster topping one make palatable guy like root though godfather concerned realistic depiction dysfunctional family try make lifeincluding marriage birth adultery spat family member tiff others community theory soap opera angle account much film appeal slight lack focus sprawl account much reason barely gave film two thing help film transcend lower score even though gangster stuff far surpassed graphic brutality intervening year dramatic context violence usually give tremendous impact film like ichi killer watched first time night watching godfather make godfather brutality fit sesame street comparison however although ichis violence effective setting knob doesnt make better besides ichi top would make many godfather fan want hurl extent coppola puzo focus extended corleone family create tremendous depth relationship whole film looked fascinating depiction oscillating dynamic family pole pair interactingdistancing controllack control benevolencemalevolence character stance action combination range characteristic everyone dance around pole speak throughout film angle even attractive surface violence well attractive u fan stuff artwork mainly purpose pushing character one pole implication underlying mechanism natural tendency towards achieving dynamic equilibrium superficial stylistic factor help push score also obvious everyone grandparent mentioned performance tough go wrong cast including al pacino marlon brando robert duvall james caan diane keaton another commonly mentioned element agree fantastic superbly integrated create atmosphere nino rota score less often mentioned consistently intriguing cinematography gordon willis willis unusual shot film subtle barely noticeable unless youre looking opening example consists long last minute zoom amerigo bonasera salvatore corsitto shot beautifully litmost frame extremely dark giving bonasera chiaroscuro effect opening also unusual long monologue minor character willis coppola knack placing actor frame create depth interesting visual pattern done slyly first blush wouldnt believe something thought keep mind watching see delightful visual path zigzag wind focal point created confluence actor scenery frame havent seen godfather important thing watching forget greatest film time hype thats likely set expectation could never met likely youll disappointed think one better film one hollywood admirable relatively odder director featuring earlier performance well known cast keep mind much historical family saga crime gangster film,positive
36,vito corleone marlon brando head mafia family sonny james caan eldest heir apparent michael al pacino return wwii hero want keep family business refuse go drug business precipitate mob war doubt one greatest movie time director francis ford coppola crafted masterpiece mario puzos novel great story great character great actor playing forty year later still compelling ever pacing slower today standard pack punch potent anything recent acting power alone incredible consider al pacino new unknown kid cast unquestionable best hollywood offer era every minute iconic scene way list rarely give rarer still give reservation perfect movie enough cultural significance originality godfather still referenced today may hater sleep fish,positive
37,power cinema purest vivid expression screenplay direction cinematography acting editing come elevated form francis ford coppola craftsman every director artist draw inspiration power word action character provides standard upon following history cinema relies historic work art,neutral
38,movie great every way great plot great character memorable quote scene great representation book based must see everyone,positive
39,giving summary classic let say masterpiece masterpiece come movie review movie consider godfather greatest time rate movie according greater movie one vito corleonemarlon brando godfather corleone family mafia michael corleoneal pacino return war intention joining family business bad blood head five family cause shooting vito keep michael away kay adamsdiane keaton girlfriend closer family sonny james caan fredojohn cazale connietaila shire family lawyer tom hagenrobert duvall sonny take family business vitos bad health take aggressive action war created head family leading assassination betrayal revenge suffering part end chaos michael corleone take family business father adviser movie absolutely flawless lighting incredible dark point brandos eye shadowed acting insanely great brando better acting job godfather waterfront pacinos acting superb star first major role leading many great performance following james caan robert duvall diane keaton give great performance well movie received oscar nomination acting alonebrando leading role pacino caan duvall supporting role movie nominated academy award best picture best screenplay best actormarlon brandoin overall movie flawless every aspect critic look highly entertaining shocking tear jerking epic proportion highly recommend movie,positive
40,godfather francis ford coppola epic classic masterpiece one best crime film world ever made favorite best film always watch none movie like godfather didnt make job well done like mario puzos godfather godfather film mafia crime family outbreak new york city gang war late one original movie brat hit seven film director coppola collaborated epic film screenplay mario puzo written bestselling novel name mafia dynasty corleones godfather catapulted francis ford coppola directorial superstardom popularized following euphemistic phrase brutal coercion im gonna make offer cant refuse love film death marlon brandos performance one best acting superb awesome marlon brandos memorable character two film later made superman apocalypse major hit box office never made making sequel three film brilliant performance known today al pacino played michael corleone superb brilliant love film set late summer show history really aging head famous crime family decides transfer position one subaltern series unfortunate event start happening family war begin wellknown family leading insolence deportation murder revenge end favorable successor finally chosen best best film world love superb threepart gangster saga inaugurated film italianamerican director francis ford coppola godfather first two part lush grand saga among celebrated landmark film time many film reviewer consider second part equal superior original although first part tremendous critical commercial success highest grossing film time mythic tragic film contributed resurgence american film industry decade competition cinema abroad francis ford coppola epic feature marlon brando oscarwinning role patriarch corleone family director coppola paint chilling portrait sicilian clan rise near fall power america masterfully balancing story corleones family life ugly crime business engaged based mario puzos bestselling novel featuring careermaking performance al pacino james caan robert duvall searing brilliant film garnered ten academy award nomination three including best picture paramount picture godfather american crime film directed francis ford coppola produced albert ruddy screenplay mario puzo coppola starring marlon brando al pacino leader fictional corleone new york crime family story span year concentrating transformation michael corleone reluctant family outsider ruthless mafia bos chronicling family patriarch vito definitely one best crime gangster movie time movie changed history forever francis ford coppola direction superb fantastic even shot camera scene impossible lost film character development terrific cast awesome epic scene love talia shire connie corleone wonderful fantastic job michael sister vitos daughter gosh movie awesome fantastic love death grade badass seal approval studio paramount picture starring marlon brandoal pacinojames caan richard castellano robert duvallsterling hayden john marley richard contediane keaton director francis ford coppola producer albert ruddy screenplay mario puzo francis ford coppola rated r running time hr min budget box office,positive
