review,cleaned_review
"It is now past 1 PM and I just finished watching Francis Ford Coppola's ""The Godfather"". I should probably go to bed. It's late and tomorrow I have to wake up a bit early. But not early enough to postpone writing these lines. Now that I have seen it three times, the opportunity of sharing my thoughts and refreshed insights are too much of a good offer to sit on. So, bear with me.

This film works so well because it takes place in an underworld in which we are so embedded that we do not even observe it. Coppola puts us straight in the smack-dab center of what is, admittedly, a society made by criminals for criminals. It is also the reason why it's so welcoming. We are surrounded by its inhabitants--cold-blooded murderers, men who see crime like a 9 to 5 job masquerading as honorable men. And I do mean men. From the outside, we would only witness the horrifying, disturbing manifestations of their well-thought out actions.

But it goes even deeper than that. It all revolves around the Corleone family led by Don Vito Corleone (Marlon Brando). He is the most honest of these men, sitting right on the edge. But for people like him, who do not fully embrace this world, it's not easy. He avoids conflict until it is absolutely necessary. He is a man defined by moral principles. There is a scene at the beginning, in which, during his daughter's wedding day, one of his associates, Luca Brasi (Lenny Montana) practices his speech that he is going to give to the Don when he meets him. The scene with these two is funny and almost adorable. I could not help but sympathize both of them only to realize that I am feeling warmth for two mobsters. Not to even mention that Lenny Montana was an actual mob hit-man and that he was actually nervous as he said that line.

The more I watched the more I realized just how incredibly complex and ruthless this society is and how it has the power to corrupt anyone to come in contact with it. The best example is Corleone's youngest son, Michael (Al Pacino). He returns home for his sister's wedding as a war hero dressed the part with his long-time girlfriend, Kay Adams (Diane Keaton). At first, he avoids this underworld, but necessity, first-hand exposure and just its sheer devilish appealing nature draws him in. As we get further in the film, the change is shocking and every outsider who ever got close to him is tainted in one way or another. If they survive it, they are drawn in as well as we are as viewers.

Inside, Coppola exposes the family to us fully, with a bold personal approach and we witness every discussion, every methodically calculated choice. Crime is done simply because it is the nature of their business, and we are put on a chair alongside them, so we easily relate. For us, they are the good guys, the rival families are the bad guys. This is the greatest feat this film managed to pull off--set apart good guys and bad guys in a world filled with bad guys.

This is a film of unmatched subtlety. No other movie sustains itself as good. No other film is done with such precision, attention and completeness. There are many layers which I probably missed and maybe will never notice. But I felt them. What director Francis Ford Coppola and his partner in crime (poor choice of words, sorry) Mario Puzo did is nothing short of a timeless piece of reference cinema whose influence is not based on reinventing the wheel, but rather perfecting it to the absolute maximum.

Most masterpieces are remembered for their historical contributions. ""Citizen Kane"" brought the biggest step-up to the art form, the same things did ""Gone With the Wind"" or ""2001: A Space Odyssey"". ""The Godfather"" is one of the few films that will be remembered simply because they are that good and I cannot possibly imagine a greater achievement.",past pm finished watching francis ford coppola godfather probably go bed late tomorrow wake bit early early enough postpone writing line seen three time opportunity sharing thought refreshed insight much good offer sit bear film work well take place underworld embedded even observe coppola put u straight smackdab center admittedly society made criminal criminal also reason welcoming surrounded inhabitantscoldblooded murderer men see crime like job masquerading honorable men mean men outside would witness horrifying disturbing manifestation wellthought action go even deeper revolves around corleone family led vito corleone marlon brando honest men sitting right edge people like fully embrace world easy avoids conflict absolutely necessary man defined moral principle scene beginning daughter wedding day one associate luca brasi lenny montana practice speech going give meet scene two funny almost adorable could help sympathize realize feeling warmth two mobster even mention lenny montana actual mob hitman actually nervous said line watched realized incredibly complex ruthless society power corrupt anyone come contact best example corleones youngest son michael al pacino return home sister wedding war hero dressed part longtime girlfriend kay adam diane keaton first avoids underworld necessity firsthand exposure sheer devilish appealing nature draw get film change shocking every outsider ever got close tainted one way another survive drawn well viewer inside coppola expose family u fully bold personal approach witness every discussion every methodically calculated choice crime done simply nature business put chair alongside easily relate u good guy rival family bad guy greatest feat film managed pull offset apart good guy bad guy world filled bad guy film unmatched subtlety movie sustains good film done precision attention completeness many layer probably missed maybe never notice felt director francis ford coppola partner crime poor choice word sorry mario puzo nothing short timeless piece reference cinema whose influence based reinventing wheel rather perfecting absolute maximum masterpiece remembered historical contribution citizen kane brought biggest stepup art form thing gone wind space odyssey godfather one film remembered simply good cannot possibly imagine greater achievement
"This isn't just a beautifully crafted gangster film. Or an outstanding family portrait, for that matter. An amazing period piece. A character study. A lesson in filmmaking and an inspiration to generations of actors, directors, screenwriters and producers. For me, this is more: this is the definitive film. 10 stars out of 10.

Favorite films: IMDb.com/list/mkjOKvqlSBs/

Lesser-Known Masterpieces: imdb.com/list/ls070242495/",isnt beautifully crafted gangster film outstanding family portrait matter amazing period piece character study lesson filmmaking inspiration generation actor director screenwriter producer definitive film star favorite film imdbcomlistmkjokvqlsbs lesserknown masterpiece imdbcomlistls
"A masterclass in film making, is The Godfather a contender for the best film of all time? I'd argue the case that it is, this is the ultimate gangster movie.

Before you panic at the thought of a film being almost three hours long, you needn't, you won't even notice the time, it flies by.

Production values are incredible, it looks sublime the whole way through, it's so well produced, at roughly fifty years old it puts many new films to shame.

Brandon, Pacino and Castellano, just a few of the Incredible performances, I could add a whole lot more.

If you're considering buying a hard copy, I would recommend it on blu ray, it is sharper than the dvd, there is a difference.

This film has had a huge influence down the years, it is still, and will forever be, one of the greatest, 10/10.",masterclass film making godfather contender best film time id argue case ultimate gangster movie panic thought film almost three hour long neednt wont even notice time fly production value incredible look sublime whole way well produced roughly fifty year old put many new film shame brandon pacino castellano incredible performance could add whole lot youre considering buying hard copy would recommend blu ray sharper dvd difference film huge influence year still forever one greatest
"The acting was simply amazing, what else could you say. What could be more appealing to people(even today) than watching actors like Al Pacino, Marlon Brando, James Caan, Diane Keaton, Talia Shire and Robert Duvall. This is like heaven for someone who is a fan of movies. With this movie Brando was able to bring himself back into the limelight. His performance as the godfather alone is iconic. His character has been recreated so much in films that it has almost if it has not already become a cliché. His performance though was not a cliché. His performance was subtle and breathtaking. It was so genuine and realistic that it was not just probably but definitely more genuine than Marlon Brando himself. Al Pacino was perfect for this film as well. What a way to start up your career. His character was all about depth and he displayed it perfectly. He was able to display his own inner-battles in his mind as well as the battles he had with his family, friends and enemies. His character was more of a psychological character study than anything else to me. Robert Duvall to me was the glue to the movie. He added a different perspective to everything in just that he was not Italian yet having the respect of the mafia. His character is a man of high authority within the Corleone family who was listened to and insightful;. This was simply perfect giving the film great balance throughout. The rest of the cast was just icing on the cake.

The writing was phenomenal and breathtaking. As mentioned before there has been no movie quoted more than this. It is not even the quotes though that makes the writing in here so perfect. It is the symbolism and meaning that went into every scene. There are countless symbols, messages and lines in here that are so memorable yet it is as realistic as a movie could get.",acting simply amazing else could say could appealing peopleeven today watching actor like al pacino marlon brando james caan diane keaton talia shire robert duvall like heaven someone fan movie movie brando able bring back limelight performance godfather alone iconic character recreated much film almost already become cliché performance though cliché performance subtle breathtaking genuine realistic probably definitely genuine marlon brando al pacino perfect film well way start career character depth displayed perfectly able display innerbattles mind well battle family friend enemy character psychological character study anything else robert duvall glue movie added different perspective everything italian yet respect mafia character man high authority within corleone family listened insightful simply perfect giving film great balance throughout rest cast icing cake writing phenomenal breathtaking mentioned movie quoted even quote though make writing perfect symbolism meaning went every scene countless symbol message line memorable yet realistic movie could get
"THE GODFATHER is quite simply a masterful piece of film-making, an epic in the truest sense of the word and by far the finest gangster film ever shot. Made with finesse, style to spare and a director who elicits pitch-perfect performances from a talented cast, this is movie-making as it should be.

Yes, it's a very long film and yes, some sections are quite slow. Nevertheless, none of the film is any less than riveting. The story - of a father/son takeover in one of New York's major Italian Mafia families - is fairly straight forward, and yet Francis Ford Coppola turns it into something else so much more; a meditation on the human condition, perhaps.

Certainly this is a film that explores the darker side of humanity. Jealousy, betrayal, anger and revenge are all key themes here, and the film is inevitably punctuated by moments of graphic and shocking violence. And I'm glad Coppola chooses not to shy away from the said violence, which makes it all the more gritty and realistic when it does happen.

Marlon Brando takes the showrunner role here, the patriarch who's past his prime, but it's easy to spot the real star of the piece: Al Pacino, who burns up the screen with sheer ferocity. Robert Duvall is easy to miss in a quieter part, but watch out for James Caan whose volatile Sonny is one of the film's most engaging characters. Altogether this is a splendid and unforgettable piece of film-making, which inevitably spawned sequels and a whole gamut of similar gangster fare, but THE GODFATHER towers head and shoulders above them all.",godfather quite simply masterful piece filmmaking epic truest sense word far finest gangster film ever shot made finesse style spare director elicits pitchperfect performance talented cast moviemaking yes long film yes section quite slow nevertheless none film less riveting story fatherson takeover one new york major italian mafia family fairly straight forward yet francis ford coppola turn something else much meditation human condition perhaps certainly film explores darker side humanity jealousy betrayal anger revenge key theme film inevitably punctuated moment graphic shocking violence im glad coppola chooses shy away said violence make gritty realistic happen marlon brando take showrunner role patriarch who past prime easy spot real star piece al pacino burn screen sheer ferocity robert duvall easy miss quieter part watch james caan whose volatile sonny one film engaging character altogether splendid unforgettable piece filmmaking inevitably spawned sequel whole gamut similar gangster fare godfather tower head shoulder
"Up until today, I haven't bothered to review ""The Godfather"". After all, everyone pretty much knows it's one of the greatest films ever made. It's #2 on IMDb's Top 100. It won the Best Picture Oscar. And, there are nearly 1600 reviews on IMDb. So what's one more review?! Well, after completing 14,000 reviews (because I am nuts), I guess it's time I got around to reviewing a film I should have reviewed a long time ago. So, here goes....the film is perfect and only a dope wouldn't watch it. Unfortunately, IMDb requires me to say more to meet it's 10 line minimum for reviews. So, I'll point out that you do NOT need to like gangster films to enjoy this film. Yes, it's violent and nasty in spots--but it's also brilliantly written and produced from start to finish and deserves the accolades it's received.

My advice is that instead of just watching ""The Godfather"" and ""The Godfather: Part II"", see the combined version they created for television--with additional scenes that made it a very rich experience.",today havent bothered review godfather everyone pretty much know one greatest film ever made imdbs top best picture oscar nearly review imdb whats one review well completing review nut guess time got around reviewing film reviewed long time ago goesthe film perfect dope wouldnt watch unfortunately imdb requires say meet line minimum review ill point need like gangster film enjoy film yes violent nasty spotsbut also brilliantly written produced start finish deserves accolade received advice instead watching godfather godfather part ii see combined version created televisionwith additional scene made rich experience
"There is very little that I can add to the reviews on here, that have explained what is so wonderful about The Godfather so well. I have seen many amazing movies, as well as some clunkers, but The Godfather was beyond amazing. There are so many images, details and scenes that I seriously cannot get out of my head since watching it for the first time just nine hours ago. The Godfather is so incredibly well-made and acted that it stands out among the rest of those other amazing films I've seen, so much so I couldn't think of a single flaw, and I am struggling to think of a good enough reason to why I didn't see this film before now.

True, The Godfather is a little slow-moving and the plot takes a while to unfold, but neither of these are flaws as such. The slow pacing added to the elegiac quality The Godfather has, and as for the plot what is special about this plot is that it is very unpredictable because you have next to no idea where it is next going to take you. Being 18, I was worried whether I was old enough to appreciate this film or even understand it, but luckily I understood it perfectly, and I can well and truly appreciate it for the masterpiece it is considered to be.

The Godfather for one thing looks stunning. I strongly disagree with the previous reviewer who said the cinematography was horrid, for me the cinematography was one of the best assets of the film. In some scenes you have cinematography and lighting that is quite dark and mysterious, and then in scenes such as the wedding it is evergreen, autumnal and very picturesque. It is not just the cinematography that makes The Godfather look stunning, the costumes are beautifully tailored, the houses are gorgeous and majestic to look at and even the cars were immaculate.

Then there is the score by Nina Rota. One word, outstanding! I have heard many wonderful scores in my lifetime, but after hearing this score few stick in the memory as much as the score for The Godfather. This score is both beautiful as seen with the main theme, and haunting in the way it sticks in your head after watching the film itself. Other outstanding assets are the masterly direction from Francis Ford Coppola, and the brilliantly written screenplay that is intelligent, thought-provoking and darkly humorous. As for the violence, some of it is shocking and intense especially in the climax which was enough to almost make your heart either beat twice as fast or stop, and I almost covered my eyes when the producer found the horse's head in his bed, but underneath that this family is somewhat loyal and honourable come to think of it.

The acting is absolutely fantastic, bringing to life characters that are rich and complex, perhaps unlikeable at first but as you get to know them you warm to them. And I have to say, The Godfather is one of those rarities where no actor gives a weak performance. In particular, Marlon Brando is brilliant as Don Vito, very heavily disguised yet stately. Every word of dialogue, every subtle hand gesture and every facial expression was brilliantly judged. Al Pacino's casting was admittedly risky, but he still did a truly wonderful job carrying the film, while James Caan is dignified and loyal, Diane Keaton beautiful and alluring and Robert Duvall nicely understated.

In conclusion, absolutely amazing, and I can see completely why it is considered one of the 10 greatest movies ever made, it is that good. In fact my 15-year old brother loved it so much, he wants to see it again. 10/10, though this film is too good for that rating. Bethany Cox",little add review explained wonderful godfather well seen many amazing movie well clunkers godfather beyond amazing many image detail scene seriously cannot get head since watching first time nine hour ago godfather incredibly wellmade acted stand among rest amazing film ive seen much couldnt think single flaw struggling think good enough reason didnt see film true godfather little slowmoving plot take unfold neither flaw slow pacing added elegiac quality godfather plot special plot unpredictable next idea next going take worried whether old enough appreciate film even understand luckily understood perfectly well truly appreciate masterpiece considered godfather one thing look stunning strongly disagree previous reviewer said cinematography horrid cinematography one best asset film scene cinematography lighting quite dark mysterious scene wedding evergreen autumnal picturesque cinematography make godfather look stunning costume beautifully tailored house gorgeous majestic look even car immaculate score nina rota one word outstanding heard many wonderful score lifetime hearing score stick memory much score godfather score beautiful seen main theme haunting way stick head watching film outstanding asset masterly direction francis ford coppola brilliantly written screenplay intelligent thoughtprovoking darkly humorous violence shocking intense especially climax enough almost make heart either beat twice fast stop almost covered eye producer found horse head bed underneath family somewhat loyal honourable come think acting absolutely fantastic bringing life character rich complex perhaps unlikeable first get know warm say godfather one rarity actor give weak performance particular marlon brando brilliant vito heavily disguised yet stately every word dialogue every subtle hand gesture every facial expression brilliantly judged al pacinos casting admittedly risky still truly wonderful job carrying film james caan dignified loyal diane keaton beautiful alluring robert duvall nicely understated conclusion absolutely amazing see completely considered one greatest movie ever made good fact year old brother loved much want see though film good rating bethany cox
"I'm 21 years old and this is the first time I've watched the godfather. I feel like I've missed something, like I definitely enjoyed the film but it was dragged out way longer then it should've. There was definitely a few pointless scenes. I can understand this was way ahead of its time but I'm obviously watching this 50 years late. Which is the reason I believe I didn't enjoy it as much as the rest of you. If you read the rest of my reviews of old film I actually really enjoyed them so don't blame it on my youth. I'll definitely watch the second one aswell at some point and I'm sure I'll really like that one but I've seen films I've given an 8 that are way better. Marlon won the Oscar for best leading role but I think he should've won best supporting role and Al pacino should've been put up for the Oscar. Marlon wasn't in the film nearly as much as I thought he'd be. All in all it definitely wasn't a bad film, in fact a good film but that's all just a good film.",im year old first time ive watched godfather feel like ive missed something like definitely enjoyed film dragged way longer shouldve definitely pointless scene understand way ahead time im obviously watching year late reason believe didnt enjoy much rest read rest review old film actually really enjoyed dont blame youth ill definitely watch second one aswell point im sure ill really like one ive seen film ive given way better marlon oscar best leading role think shouldve best supporting role al pacino shouldve put oscar marlon wasnt film nearly much thought hed definitely wasnt bad film fact good film thats good film
"One of the best films of all time, an absolute masterpiece. The Godfather is arguably the best gangster drama as well as setting the standard for cinema.",one best film time absolute masterpiece godfather arguably best gangster drama well setting standard cinema
"I love this movie and all of the GF movies. I see something new every time I have seen it (countless, truly). The story of tragedy and (little) comedy that exists in this film is easily understood by people all over the world. This film has been called an American story however I have met others who have seen this movie in other languages and they seem to have the same love and appreciation for it that I do. I love the characters and all of the different personalities that they represent not just in families but in society itself. It seems like the entire cast is part of every other movie that I love as well. The sounds, music, color and light in the film are just as much a part of the film as the people. This could be attributed to the method in which it was filmed. At many parts of the film I can still find myself feeling the emotions conveyed in the film. I never tire of appreciating this film. I thank God that FFC is an American treasure. We are fortunate to have him.",love movie gf movie see something new every time seen countless truly story tragedy little comedy exists film easily understood people world film called american story however met others seen movie language seem love appreciation love character different personality represent family society seems like entire cast part every movie love well sound music color light film much part film people could attributed method filmed many part film still find feeling emotion conveyed film never tire appreciating film thank god ffc american treasure fortunate
