tweet_id,text,username,cleaned_tweets
1892328428839342537,"Today’s class was all about supercharged note-taking with AI. Here's the note I was able to come up with using Obsidian. My learning experience has been good so far! 🤖📝

@ALX @ALXTutors @ALXFounder  
#ALX #ALXAIStarterKit #AI #ArtificialIntelligence #LearningJourney #AIForAll https://t.co/qGxvvoKFXP",blessing_gd,todays class was all about supercharged notetaking with ai heres the note i was able to come up with using obsidian my learning experience has been good so far alx alxaistarterkit ai artificialintelligence learningjourney aiforall
1892327802357080275,"For creative minds https://t.co/9ilgTaZ72F
Play inside of your #painting with a bit of AI magic ❤️🎮 #indiedev #gamedev #switch #Nindie #madewithunity #NintendoLife #PixelArt #8bitart #discord #supermariomaker2 #Yoshi #family #artificialintelligence #puzzle #games #indiegames https://t.co/7ouynksuF8",BplusGames,for creative minds play inside of your painting with a bit of ai magic indiedev gamedev switch nindie madewithunity nintendolife pixelart bitart discord supermariomaker yoshi family artificialintelligence puzzle games indiegames
1892327596932665716,"Capture your the best life moments with AI magic!

#ArtificialIntelligence #AIModel #AIAvatar #AItools #AItechnology #AITrends https://t.co/8biZSxgjoj",ai_prokhorovich,capture your the best life moments with ai magic artificialintelligence aimodel aiavatar aitools aitechnology aitrends
1892327452745011429,🌐 AI Fan Token (AI): The world's best AI Memecoin! Discover the future of crypto! 🔥 #AIFanToken #AI #ArtificialIntelligence $AI #memecoin #memecoins #aiagent #aiagents #token #tokensale https://t.co/TBFdznZxc8,aifantokens,ai fan token ai the worlds best ai memecoin discover the future of crypto aifantoken ai artificialintelligence ai memecoin memecoins aiagent aiagents token tokensale
1892327338815225984,"If your account is Hacked, or your Account being tempered with, All you need is a Good hacker...
Inbox now for all Hacking
Services
#Hacked #icloud #snapchat
#Discord
#Roblox #missingphone #privacy
#CyberSecurity #cyberattack
#Linux
#MachineLearning
#DataScience
#DataAnalytics: https://t.co/3nzAhbZWY5",crime_inc1,if your account is hacked or your account being tempered with all you need is a good hacker inbox now for all hacking services hacked icloud snapchat discord roblox missingphone privacy cybersecurity cyberattack linux machinelearning datascience dataanalytics
1892327243155734774,"I just published a no-nonsense guide inspired by @karpathy on Large Language Models—from pre-training to fine-tuning and scaling laws. Dive into the nuts &amp; bolts of AI!

https://t.co/J8xVCTqI8s

#AI #GenerativeAI #LLM #MachineLearning #TechNews",lounis_hamroun,i just published a nononsense guide inspired by on large language modelsfrom pretraining to finetuning and scaling laws dive into the nuts amp bolts of ai ai generativeai llm machinelearning technews
1892327135148179900,China Daily @chinadaily: Moral imperative - Opinion - https://t.co/w0133bjYIz. #industry40 #ArtificialIntelligence #aiact https://t.co/HfyYZVn1TX,nordicinst,china daily moral imperative opinion industry artificialintelligence aiact
1892326909536571721,"C++mostly used in
Rn
#ArtificialIntelligence #Al #ML
#DataScience #DataScientists
#CodeNewbies #Tech #deeplearning
#CyberSecurity #Python #Coding #javascript #rstats #100DaysOfCode #programming #Linux #loT #lloT
#BigData https://t.co/LzjiBp1IMp",ethical__hacke,cmostly used in rn artificialintelligence al ml datascience datascientists codenewbies tech deeplearning cybersecurity python coding javascript rstats daysofcode programming linux lot llot bigdata
1892326661703475595,"https://t.co/dOooPYLPEc

#krypto  #kryptowaluty @elonmusk @realDonaldTrump @MINDofPepe 
#pre-sell #Innovation #artificialintelligence #ai #infuancer",MonikaWieja,krypto kryptowaluty presell innovation artificialintelligence ai infuancer
1892326496494027085,"Send Me A DM for all digital hacking
#MachineLearning #DataScience #SQL
#Cybersecurity #BigData #Analytics #Al #lloT #Python #JavaScript #ReactJS 
#CloudComputing #Serverless
#DataScientist #Linux #Programming #Coding #100DaysofCode #NodeJS #golang #NLP #GitHub #loT https://t.co/liRgNnVpJU",ethical__hacke,send me a dm for all digital hacking machinelearning datascience sql cybersecurity bigdata analytics al llot python javascript reactjs cloudcomputing serverless datascientist linux programming coding daysofcode nodejs golang nlp github lot
1892326456023228535,🌐 AI Fan Token (AI): The world's best AI Memecoin! Discover the future of crypto! 🔥 #AIFanToken #AI #ArtificialIntelligence $AI #memecoin #memecoins #aiagent #aiagents #airevolutiion #aiinnovation https://t.co/F3aQgdNA2u,aifantoken0,ai fan token ai the worlds best ai memecoin discover the future of crypto aifantoken ai artificialintelligence ai memecoin memecoins aiagent aiagents airevolutiion aiinnovation
1892326417536344327,"It's mandatory password expiration helping or hurting your password security?
#DataSecurity #Privacy
#100DaysOfCode #CloudSecurity
#MachineLearning #Phishing #Ransomware #Cybersecurity #CyberAttack #DataProtection https://t.co/spIQjIkjwb",ethical__hacke,its mandatory password expiration helping or hurting your password security datasecurity privacy daysofcode cloudsecurity machinelearning phishing ransomware cybersecurity cyberattack dataprotection
1892326193698841068,🌐 AI Fan Token (AI): The world's best AI Memecoin! Discover the future of crypto! 🔥 #AIFanToken #AI #ArtificialIntelligence $AI #memecoin #memecoins #aiagent #aiagents #token #tokens https://t.co/2XltomFSpa,aifantoken1,ai fan token ai the worlds best ai memecoin discover the future of crypto aifantoken ai artificialintelligence ai memecoin memecoins aiagent aiagents token tokens
1892326130742423788,"AI is revolutionizing the gaming world! 🎮🤖 AI-generated games are here—would you play them? The future of gaming is in the making!

#AI #Gaming #TechInnovation #ChatGPT #MachineLearning https://t.co/WjuevKbvOa",ai_ELI5,ai is revolutionizing the gaming world aigenerated games are herewould you play them the future of gaming is in the making ai gaming techinnovation chatgpt machinelearning
1892326055874068532,@sparkittyz If you’re looking for a project integrating #blockchain and #ArtificialIntelligence make sure to check out $ORYA on #Solana!,FinalPointAI,if youre looking for a project integrating blockchain and artificialintelligence make sure to check out orya on solana
1892326053714022457,🌐 AI Fan Token (AI): The world's best AI Memecoin! Discover the future of crypto! 🔥 #AIFanToken #AI #ArtificialIntelligence $AI #memecoin #memecoins #aiagent #aiagents #ainews #aicommunity https://t.co/8jO0K28rPU,aifantoken3,ai fan token ai the worlds best ai memecoin discover the future of crypto aifantoken ai artificialintelligence ai memecoin memecoins aiagent aiagents ainews aicommunity
1892326047678414932,"If your account is Hacked, or your Account being tempered with, All you need is a Good hacker...
Inbox now for all Hacking
Services
#Hacked #icloud #snapchat
#Discord
#Roblox #missingphone #privacy
#CyberSecurity #cyberattack
#Linux
#MachineLearning
#DataScience
#DataAnalytics: https://t.co/MWfFHajMI2",sophos_tech,if your account is hacked or your account being tempered with all you need is a good hacker inbox now for all hacking services hacked icloud snapchat discord roblox missingphone privacy cybersecurity cyberattack linux machinelearning datascience dataanalytics
1892325999192240539,"8 strange ways emproyees can (accidently) expose data #DataSecurity #Privacy
#100DaysOfCode #CloudSecurity
#MachineLearning #Phishing
#Ransomware #Cybersecurity #CyberAttack #DataProtection
#DataBreach #Hacked #Infosec!!!!!! https://t.co/322caVUSOE",ethical__hacke,strange ways emproyees can accidently expose data datasecurity privacy daysofcode cloudsecurity machinelearning phishing ransomware cybersecurity cyberattack dataprotection databreach hacked infosec
1892325804656230471,"A deep dive into DPFL experiments, tackling accuracy, efficiency, and open challenges—plus a roadmap for the future of smarter power system modeling. -  https://t.co/AWAbijxXn1 #machinelearning #datadrivenlinearization",hackernoon,a deep dive into dpfl experiments tackling accuracy efficiency and open challengesplus a roadmap for the future of smarter power system modeling machinelearning datadrivenlinearization
1892325784942956948,🌐 AI Fan Token (AI): The world's best AI Memecoin! Discover the future of crypto! 🔥 #AIFanToken #AI #ArtificialIntelligence $AI #memecoin #memecoins #aiagent #aiagents #token #tokens https://t.co/wDo75AdsHw,aifantoken2,ai fan token ai the worlds best ai memecoin discover the future of crypto aifantoken ai artificialintelligence ai memecoin memecoins aiagent aiagents token tokens
1892325623990743262,🌐 AI Fan Token (AI): The world's best AI Memecoin! Discover the future of crypto! 🔥 #AIFanToken #AI #ArtificialIntelligence $AI #memecoin #memecoins #aiagent #aiagents  #aicrypto #cryptoai https://t.co/0XkMpR4GBM,FanTokenAI,ai fan token ai the worlds best ai memecoin discover the future of crypto aifantoken ai artificialintelligence ai memecoin memecoins aiagent aiagents aicrypto cryptoai
1892325619939086693,"🚀 Turning Data into Action! 📊

From analyzing 9,500+ records to building predictive models &amp; creating interactive geospatial heatmaps, my journey in data science has been incredible! Latest article  https://t.co/L87sSueDGq 🔗

#DataScience #MachineLearning #AI #BigData #Python",fandrazy7,turning data into action from analyzing records to building predictive models amp creating interactive geospatial heatmaps my journey in data science has been incredible latest article datascience machinelearning ai bigdata python
1892325422836117879,"Playground v2 - Distorted Humans
YuE soundtrack
Created with Visions of Chaos https://t.co/BzG1prg3iS
#ai #aiart #machinelearning #visionsofchaos #softology https://t.co/KDnnS8JArP",SoftologyComAu,playground v distorted humans yue soundtrack created with visions of chaos ai aiart machinelearning visionsofchaos softology
1892325360605200414,I just published When AI Builds Your Games: My Experiment with Gemini and 3D Tic-Tac-Toe https://t.co/R5k5JwwAwO #ArtificialIntelligence #ai #Gemini https://t.co/oNN2XyaFuP,ClaudioAutiero,i just published when ai builds your games my experiment with gemini and d tictactoe artificialintelligence ai gemini
1892325083051377149,I seriously believe Computer instruction XOR is Evil and will Kill Us All someday. #AI #ArtificialIntelligence #Consciousness #Philosophy #Mind #MachineLearning #Engineering,SteveKlinko,i seriously believe computer instruction xor is evil and will kill us all someday ai artificialintelligence consciousness philosophy mind machinelearning engineering
1892325037111153090,"#France hosts global AI summit as Chinese rivals disrupt tech sector • FRANCE 24 English 
https://t.co/ef5F135Gbg  #TechJunkieInvest #investing #TechJunkieNews #Tech (video) #Europe   #EmergingMarkets #geopolitics  #China #Asia  #DeepSeek #ArtificialIntelligence https://t.co/5fGCVRvi9r",techjunkiejh,france hosts global ai summit as chinese rivals disrupt tech sector france english techjunkieinvest investing techjunkienews tech video europe emergingmarkets geopolitics china asia deepseek artificialintelligence
1892324866981814600,"If your account is Hacked, or your Account being tempered with, All you need is a Good hacker...
Inbox now for all Hacking
Services
#Hacked #icloud #snapchat
#Discord
#Roblox #missingphone #privacy
#CyberSecurity #cyberattack
#Linux
#MachineLearning
#DataScience
#DataAnalytics: https://t.co/lPeBboYJaZ",bavenloydhack,if your account is hacked or your account being tempered with all you need is a good hacker inbox now for all hacking services hacked icloud snapchat discord roblox missingphone privacy cybersecurity cyberattack linux machinelearning datascience dataanalytics
1892324866663076028,🌐 AI Fan Token (AI): The world's best AI Memecoin! Discover the future of crypto! 🔥 #AIFanToken #AI #ArtificialIntelligence $AI https://t.co/f7BMsC6fGA,AIFanToken,ai fan token ai the worlds best ai memecoin discover the future of crypto aifantoken ai artificialintelligence ai
1892324864918171837,"@JoeyT1010 @BeeAwake1 @DRTasCanB @tholson90 @Eb67735B @Jessies_Too @TheFloridaMike @bitternesstojoy @Queeny1946 @LibOrNormal @MarieP864248 ⚡️Who doesn't want to get paid for something there going to to anyway?⚡️

🔥Grow your account and get paid for doing what you want and like to do.🔥
#AI #ArtificialIntelligence #socialmedia #love⚡️Who doesn't want to get paid for something there going to to anyway?⚡️

🔥Grow your… https://t.co/rqiU4nzVJw https://t.co/CS9H4egWzS",AITechInfluence,who doesnt want to get paid for something there going to to anyway grow your account and get paid for doing what you want and like to do ai artificialintelligence socialmedia lovewho doesnt want to get paid for something there going to to anyway grow your
1892324729358282788,"@AWESOMESALVIC ⚡️Who doesn't want to get paid for something there going to to anyway?⚡️

🔥Grow your account and get paid for doing what you want and like to do.🔥
#AI #ArtificialIntelligence #socialmedia #love https://t.co/P0JTAav0Ry",AITechInfluence,who doesnt want to get paid for something there going to to anyway grow your account and get paid for doing what you want and like to do ai artificialintelligence socialmedia love
1892324544805032202,"Scikit-Learn GridSearchCV AdaBoostRegressor
https://t.co/1HfS9edJQk

#SciKitLearn #DataScience #MachineLearning https://t.co/TartgOkHcs",SciKitLearn,scikitlearn gridsearchcv adaboostregressor scikitlearn datascience machinelearning
1892324530665775608,"For creative minds https://t.co/9ilgTaZ72F
Play inside of your #painting with a bit of AI magic ❤️🎮 #indiedev #gamedev #switch #Nindie #madewithunity #NintendoLife #PixelArt #8bitart #discord #supermariomaker2 #Yoshi #family #artificialintelligence #puzzle #games #indiegames https://t.co/chidZHyYas",BplusGames,for creative minds play inside of your painting with a bit of ai magic indiedev gamedev switch nindie madewithunity nintendolife pixelart bitart discord supermariomaker yoshi family artificialintelligence puzzle games indiegames
1892324319797076014,"If your account is Hacked, or your Account being tempered with, All you need is a Good hacker...
Inbox now for all Hacking
Services
#Hacked #icloud #snapchat
#Discord
#Roblox #missingphone #privacy
#CyberSecurity #cyberattack
#Linux
#MachineLearning
#DataScience
#DataAnalytics: https://t.co/cg2jOaTNPu",EthicalHack21,if your account is hacked or your account being tempered with all you need is a good hacker inbox now for all hacking services hacked icloud snapchat discord roblox missingphone privacy cybersecurity cyberattack linux machinelearning datascience dataanalytics
1892324181695406580,"8 strange ways emproyees can (accidently) expose data 
#DataSecurity #Privacy
#100DaysOfCode #CloudSecurity
#MachineLearning #Phishing
#Ransomware #Cybersecurity #CyberAttack #DataProtection
#DataBreach #Hacked #Infosec!! https://t.co/1ksKzN6JsZ",richiehack274,strange ways emproyees can accidently expose data datasecurity privacy daysofcode cloudsecurity machinelearning phishing ransomware cybersecurity cyberattack dataprotection databreach hacked infosec
1892323992926560632,"Daniel Herrera-Esposito, Johannes Burge @Penn:
""Supervised Quadratic Feature Analysis: An Information Geometry Approach to Dimensionality Reduction""

#MachineLearning #DifferentialGeometry
https://t.co/qTJvSgRBRt",SN_INGE,daniel herreraesposito johannes burge supervised quadratic feature analysis an information geometry approach to dimensionality reduction machinelearning differentialgeometry
1892323844351758376,"8 strange ways emproyees can (accidently) expose data 
#DataSecurity #Privacy
#100DaysOfCode #CloudSecurity
#MachineLearning #Phishing
#Ransomware #Cybersecurity #CyberAttack #DataProtection
#DataBreach #Hacked #Infosec!! https://t.co/S81YPeSwnv",richiehack274,strange ways emproyees can accidently expose data datasecurity privacy daysofcode cloudsecurity machinelearning phishing ransomware cybersecurity cyberattack dataprotection databreach hacked infosec
1892323699052687865,"8 strange ways emproyees can (accidently) expose data 
#DataSecurity #Privacy
#100DaysOfCode #CloudSecurity
#MachineLearning #Phishing
#Ransomware #Cybersecurity #CyberAttack #DataProtection
#DataBreach #Hacked #Infosec
Warning #bittrex https://t.co/kN2oYlZDqj",richiehack274,strange ways emproyees can accidently expose data datasecurity privacy daysofcode cloudsecurity machinelearning phishing ransomware cybersecurity cyberattack dataprotection databreach hacked infosec warning bittrex
